* Measurement data measured by REW V5.20.13
* Source: EXCL: Microfoon (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0,540
* Format: 1M Log Swept Sine, 1 sweep at -9,0 dBFS with no timing reference
* Dated: 18-mrt-2023 16:47:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 1.9m hoogte 4,9ms window; 
* Measurement: hor 80
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
179.809583 32.455 -16.2058
180.175794 32.213 -15.4290
180.542005 31.966 -14.5706
180.908216 31.714 -13.6165
181.274427 31.457 -12.5646
181.640638 31.195 -11.4043
182.006849 30.930 -10.1263
182.373060 30.663 -8.7164
182.739271 30.393 -7.1727
183.105482 30.124 -5.4769
183.471693 29.857 -3.6213
183.837904 29.593 -1.5966
184.204115 29.336 0.6084
184.570326 29.089 2.9999
184.936537 28.855 5.5857
185.302748 28.639 8.3642
185.668959 28.444 11.3334
186.035170 28.276 14.4846
186.401381 28.140 17.8018
186.767592 28.039 21.2665
187.133803 27.978 24.8432
187.500014 27.960 28.4956
187.866225 27.987 32.1917
188.232436 28.058 35.8782
188.598647 28.174 39.5204
188.964857 28.333 43.0748
189.331068 28.529 46.5089
189.697279 28.761 49.7939
190.063490 29.023 52.9093
190.429701 29.310 55.8383
190.795912 29.619 58.5750
191.162123 29.943 61.1192
191.528334 30.281 63.4752
191.894545 30.627 65.6427
192.260756 30.979 67.6356
192.626967 31.335 69.4595
192.993178 31.692 71.1276
193.359389 32.049 72.6474
193.725600 32.404 74.0324
194.091811 32.756 75.2920
194.458022 33.103 76.4381
194.824233 33.447 77.4749
195.190444 33.786 78.4153
195.556655 34.119 79.2663
195.922866 34.447 80.0358
196.289077 34.770 80.7290
196.655288 35.086 81.3527
197.021499 35.398 81.9128
197.387710 35.703 82.4154
197.753921 36.003 82.8635
198.120132 36.297 83.2607
198.486343 36.586 83.6123
198.852554 36.869 83.9221
199.218765 37.147 84.1918
199.584976 37.420 84.4256
199.951187 37.689 84.6245
200.317397 37.952 84.7946
200.683608 38.211 84.9322
201.049819 38.465 85.0443
201.416030 38.715 85.1310
201.782241 38.961 85.1938
202.148452 39.203 85.2345
202.514663 39.441 85.2553
202.880874 39.674 85.2553
203.247085 39.905 85.2388
203.613296 40.131 85.2040
203.979507 40.354 85.1539
204.345718 40.574 85.0889
204.711929 40.790 85.0096
205.078140 41.003 84.9166
205.444351 41.214 84.8106
205.810562 41.421 84.6929
206.176773 41.625 84.5654
206.542984 41.826 84.4256
206.909195 42.025 84.2770
207.275406 42.221 84.1178
207.641617 42.415 83.9507
208.007828 42.606 83.7740
208.374039 42.795 83.5896
208.740250 42.981 83.3982
209.106461 43.165 83.1984
209.472672 43.347 82.9924
209.838883 43.526 82.7794
210.205094 43.704 82.5597
210.571305 43.879 82.3348
210.937516 44.053 82.1034
211.303726 44.225 81.8667
211.669937 44.394 81.6252
212.036148 44.562 81.3786
212.402359 44.728 81.1268
212.768570 44.892 80.8710
213.134781 45.055 80.6110
213.500992 45.216 80.3463
213.867203 45.375 80.0774
214.233414 45.533 79.8051
214.599625 45.689 79.5292
214.965836 45.844 79.2497
215.332047 45.997 78.9664
215.698258 46.149 78.6806
216.064469 46.300 78.3912
216.430680 46.449 78.0992
216.796891 46.596 77.8039
217.163102 46.743 77.5059
217.529313 46.888 77.2052
217.895524 47.032 76.9026
218.261735 47.174 76.5969
218.627946 47.316 76.2890
218.994157 47.456 75.9789
219.360368 47.595 75.6665
219.726579 47.733 75.3522
220.092790 47.870 75.0359
220.459001 48.005 74.7176
220.825212 48.140 74.3972
221.191423 48.274 74.0752
221.557634 48.406 73.7516
221.923845 48.538 73.4260
222.290056 48.669 73.0993
222.656266 48.798 72.7705
223.022477 48.927 72.4404
223.388688 49.055 72.1088
223.754899 49.181 71.7759
224.121110 49.307 71.4414
224.487321 49.432 71.1058
224.853532 49.556 70.7687
225.219743 49.680 70.4306
225.585954 49.802 70.0913
225.952165 49.924 69.7507
226.318376 50.045 69.4091
226.684587 50.165 69.0667
227.050798 50.284 68.7229
227.417009 50.402 68.3783
227.783220 50.520 68.0327
228.149431 50.637 67.6863
228.515642 50.753 67.3385
228.881853 50.869 66.9900
229.248064 50.983 66.6408
229.614275 51.098 66.2911
229.980486 51.211 65.9402
230.346697 51.324 65.5888
230.712908 51.436 65.2363
231.079119 51.547 64.8834
231.445330 51.658 64.5297
231.811541 51.768 64.1754
232.177752 51.877 63.8204
232.543963 51.986 63.4649
232.910174 52.094 63.1084
233.276385 52.202 62.7517
233.642595 52.309 62.3944
234.008806 52.415 62.0365
234.375017 52.521 61.6778
234.741228 52.626 61.3190
235.107439 52.731 60.9594
235.473650 52.835 60.5996
235.839861 52.938 60.2392
236.206072 53.041 59.8782
236.572283 53.144 59.5169
236.938494 53.246 59.1552
237.304705 53.347 58.7930
237.670916 53.448 58.4304
238.037127 53.548 58.0677
238.403338 53.648 57.7044
238.769549 53.747 57.3407
239.135760 53.846 56.9767
239.501971 53.945 56.6125
239.868182 54.043 56.2479
240.234393 54.140 55.8830
240.600604 54.237 55.5176
240.966815 54.333 55.1521
241.333026 54.429 54.7863
241.699237 54.525 54.4201
242.065448 54.620 54.0538
242.431659 54.715 53.6871
242.797870 54.809 53.3203
243.164081 54.903 52.9532
243.530292 54.996 52.5858
243.896503 55.089 52.2183
244.262714 55.182 51.8506
244.628925 55.274 51.4826
244.995135 55.365 51.1146
245.361346 55.457 50.7461
245.727557 55.548 50.3777
246.093768 55.638 50.0088
246.459979 55.728 49.6400
246.826190 55.818 49.2710
247.192401 55.907 48.9019
247.558612 55.996 48.5324
247.924823 56.085 48.1630
248.291034 56.173 47.7934
248.657245 56.261 47.4236
249.023456 56.348 47.0537
249.389667 56.436 46.6838
249.755878 56.522 46.3135
250.122089 56.609 45.9433
250.488300 56.695 45.5729
250.854511 56.780 45.2025
251.220722 56.866 44.8320
251.586933 56.951 44.4613
251.953144 57.035 44.0906
252.319355 57.120 43.7197
252.685566 57.204 43.3487
253.051777 57.288 42.9778
253.417988 57.371 42.6068
253.784199 57.454 42.2357
254.150410 57.537 41.8645
254.516621 57.619 41.4932
254.882832 57.701 41.1218
255.249043 57.783 40.7506
255.615254 57.864 40.3791
255.981465 57.945 40.0077
256.347675 58.026 39.6361
256.713886 58.107 39.2645
257.080097 58.187 38.8929
257.446308 58.267 38.5214
257.812519 58.347 38.1497
258.178730 58.426 37.7780
258.544941 58.505 37.4062
258.911152 58.584 37.0345
259.277363 58.662 36.6627
259.643574 58.741 36.2909
260.009785 58.819 35.9191
260.375996 58.896 35.5473
260.742207 58.974 35.1755
261.108418 59.051 34.8036
261.474629 59.127 34.4317
261.840840 59.204 34.0599
262.207051 59.280 33.6880
262.573262 59.356 33.3161
262.939473 59.432 32.9443
263.305684 59.508 32.5725
263.671895 59.583 32.2007
264.038106 59.658 31.8287
264.404317 59.732 31.4568
264.770528 59.807 31.0850
265.136739 59.881 30.7132
265.502950 59.955 30.3414
265.869161 60.029 29.9695
266.235372 60.102 29.5978
266.601583 60.176 29.2259
266.967794 60.248 28.8543
267.334004 60.321 28.4825
267.700215 60.394 28.1108
268.066426 60.466 27.7391
268.432637 60.538 27.3675
268.798848 60.610 26.9958
269.165059 60.681 26.6242
269.531270 60.752 26.2526
269.897481 60.824 25.8810
270.263692 60.894 25.5094
270.629903 60.965 25.1381
270.996114 61.035 24.7666
271.362325 61.106 24.3951
271.728536 61.175 24.0237
272.094747 61.245 23.6524
272.460958 61.315 23.2811
272.827169 61.384 22.9098
273.193380 61.453 22.5385
273.559591 61.522 22.1674
273.925802 61.590 21.7961
274.292013 61.659 21.4251
274.658224 61.727 21.0540
